Search string                    Error Message
d<space><hrt>                    E / SPACE + HRT found! Please verify.
e<space><hrt>                    E / SPACE + HRT found! Please verify.
f<space><hrt>                    E / SPACE + HRT found! Please verify.
g<space><hrt>                    E / SPACE + HRT found! Please verify.
h<space><hrt>                    E / SPACE + HRT found! Please verify.
i<space><hrt>                    E / SPACE + HRT found! Please verify.
j<space><hrt>                    E / SPACE + HRT found! Please verify.
k<space><hrt>                    E / SPACE + HRT found! Please verify.
l<space><hrt>                    E / SPACE + HRT found! Please verify.
m<space><hrt>                    E / SPACE + HRT found! Please verify.
n<space><hrt>                    E / SPACE + HRT found! Please verify.
o<space><hrt>                    E / SPACE + HRT found! Please verify.
p<space><hrt>                    E / SPACE + HRT found! Please verify.
q<space><hrt>                    E / SPACE + HRT found! Please verify.
r<space><hrt>                    E / SPACE + HRT found! Please verify.
s<space><hrt>                    E / SPACE + HRT found! Please verify.
t<space><hrt>                    E / SPACE + HRT found! Please verify.
u<space><hrt>                    E / SPACE + HRT found! Please verify.
v<space><hrt>                    E / SPACE + HRT found! Please verify.
w<space><hrt>                    E / SPACE + HRT found! Please verify.
x<space><hrt>                    E / SPACE + HRT found! Please verify.
y<space><hrt>                    E / SPACE + HRT found! Please verify.
z<space><hrt>                    E / SPACE + HRT found! Please verify.
.<space><hrt>                    E / SPACE + HRT found! Please verify.
;<space><hrt>                    E / SPACE + HRT found! Please verify.
'<space><hrt>                    E / SPACE + HRT found! Please verify.
"<space><hrt>                    E / SPACE + HRT found! Please verify.
?<space><hrt>                    E / SPACE + HRT found! Please verify.
,<space><hrt>                    E / SPACE + HRT found! Please verify.
!<space><hrt>                    E / SPACE + HRT found! Please verify.
%<space><hrt>                    E / SPACE + HRT found! Please verify.
*<space><hrt>                    E / SPACE + HRT found! Please verify.
(<space><hrt>                    E / SPACE + HRT found! Please verify.
)<space><hrt>                    E / SPACE + HRT found! Please verify.
-<space><hrt>                    E / SPACE + HRT found! Please verify.
+<space><hrt>                    E / SPACE + HRT found! Please verify.
\<space><hrt>                    E / SPACE + HRT found! Please verify.
1<space><hrt>                    E / SPACE + HRT found! Please verify.
2<space><hrt>                    E / SPACE + HRT found! Please verify.
3<space><hrt>                    E / SPACE + HRT found! Please verify.
4<space><hrt>                    E / SPACE + HRT found! Please verify.
5<space><hrt>                    E / SPACE + HRT found! Please verify.
6<space><hrt>                    E / SPACE + HRT found! Please verify.
7<space><hrt>                    E / SPACE + HRT found! Please verify.
8<space><hrt>                    E / SPACE + HRT found! Please verify.
9<space><hrt>                    E / SPACE + HRT found! Please verify.
0<space><hrt>                    E / SPACE + HRT found! Please verify.
A<space><hrt>                    E / SPACE + HRT found! Please verify.
B<space><hrt>                    E / SPACE + HRT found! Please verify.
C<space><hrt>                    E / SPACE + HRT found! Please verify.
D<space><hrt>                    E / SPACE + HRT found! Please verify.
E<space><hrt>                    E / SPACE + HRT found! Please verify.
F<space><hrt>                    E / SPACE + HRT found! Please verify.
G<space><hrt>                    E / SPACE + HRT found! Please verify.
