Search string                    Error Message
&amp;deg;                        E / Do not convert ampersand on conversion
&amp;ordm;                       E / Do not convert ampersand on conversion
&amp;ordf;                       E / Do not convert ampersand on conversion
&amp;sect;                       E / Do not convert ampersand on conversion
&amp;para;                       E / Do not convert ampersand on conversion
&amp;middot;                     E / Do not convert ampersand on conversion
&amp;larr;                       E / Do not convert ampersand on conversion
&amp;rarr;                       E / Do not convert ampersand on conversion
&amp;uarr;                       E / Do not convert ampersand on conversion
&amp;darr;                       E / Do not convert ampersand on conversion
&amp;copy;                       E / Do not convert ampersand on conversion
&amp;reg;                        E / Do not convert ampersand on conversion
&amp;trade;                      E / Do not convert ampersand on conversion
&amp;brvbar;                     E / Do not convert ampersand on conversion
&amp;not;                        E / Do not convert ampersand on conversion
&amp;sung;                       E / Do not convert ampersand on conversion
&amp;excl;                       E / Do not convert ampersand on conversion
&amp;iexcl;                      E / Do not convert ampersand on conversion
&amp;quot;                       E / Do not convert ampersand on conversion
&amp;apos;                       E / Do not convert ampersand on conversion
&amp;lpar;                       E / Do not convert ampersand on conversion
&amp;rpar;                       E / Do not convert ampersand on conversion
&amp;comma;                      E / Do not convert ampersand on conversion
&amp;lowbar;                     E / Do not convert ampersand on conversion
&amp;hyphen;                     E / Do not convert ampersand on conversion
&amp;period;                     E / Do not convert ampersand on conversion
&amp;sol;                        E / Do not convert ampersand on conversion
&amp;colon;                      E / Do not convert ampersand on conversion
&amp;semi;                       E / Do not convert ampersand on conversion
&amp;quest;                      E / Do not convert ampersand on conversion
&amp;iquest;                     E / Do not convert ampersand on conversion
&amp;laquo;                      E / Do not convert ampersand on conversion
&amp;raquo;                      E / Do not convert ampersand on conversion
&amp;lsquo;                      E / Do not convert ampersand on conversion
&amp;rsquo;                      E / Do not convert ampersand on conversion
&amp;ldquo;                      E / Do not convert ampersand on conversion
&amp;rdquo;                      E / Do not convert ampersand on conversion
&amp;nbsp;                       E / Do not convert ampersand on conversion
&amp;shy;                        E / Do not convert ampersand on conversion
&amp;schwa;                      E / Do not convert ampersand on conversion
&amp;alpha;                      E / Do not convert ampersand on conversion
&amp;Alpha;                      E / Do not convert ampersand on conversion
&amp;beta;                       E / Do not convert ampersand on conversion
&amp;Beta;                       E / Do not convert ampersand on conversion
&amp;gamma;                      E / Do not convert ampersand on conversion
&amp;Gamma;                      E / Do not convert ampersand on conversion
&amp;delta;                      E / Do not convert ampersand on conversion
&amp;Delta;                      E / Do not convert ampersand on conversion
&amp;epsilon;                    E / Do not convert ampersand on conversion
&amp;Epsilon;                    E / Do not convert ampersand on conversion
&amp;zeta;                       E / Do not convert ampersand on conversion
&amp;Zeta;                       E / Do not convert ampersand on conversion
&amp;eta;                        E / Do not convert ampersand on conversion
&amp;Eta;                        E / Do not convert ampersand on conversion
&amp;theta;                      E / Do not convert ampersand on conversion
&amp;Theta;                      E / Do not convert ampersand on conversion
&amp;iota;                       E / Do not convert ampersand on conversion
&amp;Iota;                       E / Do not convert ampersand on conversion
&amp;kappa;                      E / Do not convert ampersand on conversion
&amp;Kappa;                      E / Do not convert ampersand on conversion
&amp;lambda;                     E / Do not convert ampersand on conversion
&amp;Lambda;                     E / Do not convert ampersand on conversion
&amp;mu;                         E / Do not convert ampersand on conversion
&amp;Mu;                         E / Do not convert ampersand on conversion
&amp;nu;                         E / Do not convert ampersand on conversion
&amp;Nu;                         E / Do not convert ampersand on conversion
&amp;xi;                         E / Do not convert ampersand on conversion
&amp;Xi;                         E / Do not convert ampersand on conversion
&amp;omicron;                    E / Do not convert ampersand on conversion
&amp;Omicron;                    E / Do not convert ampersand on conversion
&amp;pi;                         E / Do not convert ampersand on conversion
&amp;Pi;                         E / Do not convert ampersand on conversion
&amp;rho;                        E / Do not convert ampersand on conversion
&amp;Rho;                        E / Do not convert ampersand on conversion
&amp;fsigma;                     E / Do not convert ampersand on conversion
&amp;sigma;                      E / Do not convert ampersand on conversion
&amp;Sigma;                      E / Do not convert ampersand on conversion
&amp;tau;                        E / Do not convert ampersand on conversion
&amp;Tau;                        E / Do not convert ampersand on conversion
&amp;upsilon;                    E / Do not convert ampersand on conversion
&amp;Upsilon;                    E / Do not convert ampersand on conversion
&amp;phi;                        E / Do not convert ampersand on conversion
&amp;Phi;                        E / Do not convert ampersand on conversion
&amp;chi;                        E / Do not convert ampersand on conversion
&amp;Chi;                        E / Do not convert ampersand on conversion
&amp;psi;                        E / Do not convert ampersand on conversion
&amp;Psi;                        E / Do not convert ampersand on conversion
&amp;omega;                      E / Do not convert ampersand on conversion
&amp;Omega;                      E / Do not convert ampersand on conversion
&amp;aacgr;                      E / Do not convert ampersand on conversion
&amp;Aacgr;                      E / Do not convert ampersand on conversion
&amp;eacgr;                      E / Do not convert ampersand on conversion
&amp;Eacgr;                      E / Do not convert ampersand on conversion
&amp;eeacgr;                     E / Do not convert ampersand on conversion
&amp;EEacgr;                     E / Do not convert ampersand on conversion
&amp;idigr;                      E / Do not convert ampersand on conversion
&amp;Idigr;                      E / Do not convert ampersand on conversion
&amp;iacgr;                      E / Do not convert ampersand on conversion
&amp;Iacgr;                      E / Do not convert ampersand on conversion
&amp;idiagr;                     E / Do not convert ampersand on conversion
&amp;oacgr;                      E / Do not convert ampersand on conversion
&amp;Oacgr;                      E / Do not convert ampersand on conversion
&amp;udigr;                      E / Do not convert ampersand on conversion
&amp;Udigr;                      E / Do not convert ampersand on conversion
&amp;uacgr;                      E / Do not convert ampersand on conversion
&amp;Uacgr;                      E / Do not convert ampersand on conversion
&amp;udiagr;                     E / Do not convert ampersand on conversion
&amp;Udiagr;                     E / Do not convert ampersand on conversion
&amp;ohacgr;                     E / Do not convert ampersand on conversion
&amp;OHacgr;                     E / Do not convert ampersand on conversion
&amp;aleph;                      E / Do not convert ampersand on conversion
&amp;and;                        E / Do not convert ampersand on conversion
&amp;ang90;                      E / Do not convert ampersand on conversion
&amp;angsph;                     E / Do not convert ampersand on conversion
&amp;ap;                         E / Do not convert ampersand on conversion
&amp;becaus;                     E / Do not convert ampersand on conversion
&amp;bottom;                     E / Do not convert ampersand on conversion
&amp;cap;                        E / Do not convert ampersand on conversion
&amp;cong;                       E / Do not convert ampersand on conversion
&amp;conint;                     E / Do not convert ampersand on conversion
&amp;cup;                        E / Do not convert ampersand on conversion
&amp;equiv;                      E / Do not convert ampersand on conversion
&amp;exist;                      E / Do not convert ampersand on conversion
&amp;forall;                     E / Do not convert ampersand on conversion
&amp;fnof;                       E / Do not convert ampersand on conversion
&amp;iff;                        E / Do not convert ampersand on conversion
&amp;infin;                      E / Do not convert ampersand on conversion
&amp;int;                        E / Do not convert ampersand on conversion
&amp;isin;                       E / Do not convert ampersand on conversion
&amp;lang;                       E / Do not convert ampersand on conversion
&amp;lArr;                       E / Do not convert ampersand on conversion
&amp;minus;                      E / Do not convert ampersand on conversion
&amp;mnplus;                     E / Do not convert ampersand on conversion
&amp;nabla;                      E / Do not convert ampersand on conversion
&amp;ne;                         E / Do not convert ampersand on conversion
&amp;ni;                         E / Do not convert ampersand on conversion
&amp;or;                         E / Do not convert ampersand on conversion
&amp;par;                        E / Do not convert ampersand on conversion
&amp;part;                       E / Do not convert ampersand on conversion
&amp;permil;                     E / Do not convert ampersand on conversion
&amp;perp;                       E / Do not convert ampersand on conversion
&amp;prime;                      E / Do not convert ampersand on conversion
&amp;Prime;                      E / Do not convert ampersand on conversion
&amp;prop;                       E / Do not convert ampersand on conversion
&amp;rang;                       E / Do not convert ampersand on conversion
&amp;rArr;                       E / Do not convert ampersand on conversion
&amp;sim;                        E / Do not convert ampersand on conversion
&amp;sime;                       E / Do not convert ampersand on conversion
&amp;square;                     E / Do not convert ampersand on conversion
&amp;sub;                        E / Do not convert ampersand on conversion
&amp;sube;                       E / Do not convert ampersand on conversion
&amp;sup;                        E / Do not convert ampersand on conversion
&amp;supe;                       E / Do not convert ampersand on conversion
&amp;there4;                     E / Do not convert ampersand on conversion
&amp;Verbar;                     E / Do not convert ampersand on conversion
&amp;angst;                      E / Do not convert ampersand on conversion
&amp;bernou;                     E / Do not convert ampersand on conversion
&amp;compfn;                     E / Do not convert ampersand on conversion
&amp;Dot;                        E / Do not convert ampersand on conversion
&amp;DotDot;                     E / Do not convert ampersand on conversion
&amp;hamilt;                     E / Do not convert ampersand on conversion
&amp;lagran;                     E / Do not convert ampersand on conversion
&amp;lowast;                     E / Do not convert ampersand on conversion
&amp;notin;                      E / Do not convert ampersand on conversion
&amp;order;                      E / Do not convert ampersand on conversion
&amp;phmmat;                     E / Do not convert ampersand on conversion
&amp;tdot;                       E / Do not convert ampersand on conversion
&amp;tprime;                     E / Do not convert ampersand on conversion
&amp;wedgeq;                     E / Do not convert ampersand on conversion
&amp;rdArr;                      E / Do not convert ampersand on conversion
&amp;sqCup;                      E / Do not convert ampersand on conversion
&amp;openBox;                    E / Do not convert ampersand on conversion
&amp;tp_rCorner;                 E / Do not convert ampersand on conversion
&amp;tp_lCorner;                 E / Do not convert ampersand on conversion
&amp;bt_lCorner;                 E / Do not convert ampersand on conversion
&amp;bt_rCorner;                 E / Do not convert ampersand on conversion
&amp;boxTopBot;                  E / Do not convert ampersand on conversion
&amp;boxSide;                    E / Do not convert ampersand on conversion
&amp;barOverC;                   E / Do not convert ampersand on conversion
&amp;lStrikeBracket;             E / Do not convert ampersand on conversion
&amp;rStrikeBracket;             E / Do not convert ampersand on conversion
&amp;strikeLine;                 E / Do not convert ampersand on conversion
&amp;overLine;                   E / Do not convert ampersand on conversion
&amp;ibreve;                     E / Do not convert ampersand on conversion
&amp;underLine;                  E / Do not convert ampersand on conversion
&amp;hat;                        E / Do not convert ampersand on conversion
&amp;account_of;                 E / Do not convert ampersand on conversion
&amp;dblAccute;                  E / Do not convert ampersand on conversion
&amp;overSlash;                  E / Do not convert ampersand on conversion
&amp;vlOver;                     E / Do not convert ampersand on conversion
&amp;vlBelow;                    E / Do not convert ampersand on conversion
&amp;bigPlus;                    E / Do not convert ampersand on conversion
&amp;asymptEq;                   E / Do not convert ampersand on conversion
&amp;benzene;                    E / Do not convert ampersand on conversion
&amp;degC;                       E / Do not convert ampersand on conversion
&amp;ounce;                      E / Do not convert ampersand on conversion
&amp;icaron;                     E / Do not convert ampersand on conversion
&amp;Acircle;                    E / Do not convert ampersand on conversion
&amp;Bcircle;                    E / Do not convert ampersand on conversion
&amp;Ccircle;                    E / Do not convert ampersand on conversion
&amp;Dcircle;                    E / Do not convert ampersand on conversion
&amp;Ecircle;                    E / Do not convert ampersand on conversion
&amp;Fcircle;                    E / Do not convert ampersand on conversion
&amp;Gcircle;                    E / Do not convert ampersand on conversion
&amp;Hcircle;                    E / Do not convert ampersand on conversion
&amp;Icircle;                    E / Do not convert ampersand on conversion
&amp;Jcircle;                    E / Do not convert ampersand on conversion
&amp;Kcircle;                    E / Do not convert ampersand on conversion
&amp;Lcircle;                    E / Do not convert ampersand on conversion
&amp;Mcircle;                    E / Do not convert ampersand on conversion
&amp;Ncircle;                    E / Do not convert ampersand on conversion
&amp;Ocircle;                    E / Do not convert ampersand on conversion
&amp;Pcircle;                    E / Do not convert ampersand on conversion
&amp;Qcircle;                    E / Do not convert ampersand on conversion
&amp;Rcircle;                    E / Do not convert ampersand on conversion
&amp;Scircle;                    E / Do not convert ampersand on conversion
&amp;Tcircle;                    E / Do not convert ampersand on conversion
&amp;Ucircle;                    E / Do not convert ampersand on conversion
&amp;Vcircle;                    E / Do not convert ampersand on conversion
&amp;Wcircle;                    E / Do not convert ampersand on conversion
&amp;Xcircle;                    E / Do not convert ampersand on conversion
&amp;Ycircle;                    E / Do not convert ampersand on conversion
&amp;Zcircle;                    E / Do not convert ampersand on conversion
&amp;acircle;                    E / Do not convert ampersand on conversion
&amp;bcircle;                    E / Do not convert ampersand on conversion
&amp;ccircle;                    E / Do not convert ampersand on conversion
&amp;dcircle;                    E / Do not convert ampersand on conversion
&amp;ecircle;                    E / Do not convert ampersand on conversion
&amp;fcircle;                    E / Do not convert ampersand on conversion
&amp;gcircle;                    E / Do not convert ampersand on conversion
&amp;hcircle;                    E / Do not convert ampersand on conversion
&amp;icircle;                    E / Do not convert ampersand on conversion
&amp;jcircle;                    E / Do not convert ampersand on conversion
&amp;kcircle;                    E / Do not convert ampersand on conversion
&amp;lcircle;                    E / Do not convert ampersand on conversion
&amp;mcircle;                    E / Do not convert ampersand on conversion
&amp;ncircle;                    E / Do not convert ampersand on conversion
&amp;ocircle;                    E / Do not convert ampersand on conversion
&amp;pcircle;                    E / Do not convert ampersand on conversion
&amp;qcircle;                    E / Do not convert ampersand on conversion
&amp;rcircle;                    E / Do not convert ampersand on conversion
&amp;scircle;                    E / Do not convert ampersand on conversion
&amp;tcircle;                    E / Do not convert ampersand on conversion
&amp;ucircle;                    E / Do not convert ampersand on conversion
&amp;vcircle;                    E / Do not convert ampersand on conversion
&amp;wcircle;                    E / Do not convert ampersand on conversion
&amp;xcircle;                    E / Do not convert ampersand on conversion
&amp;ycircle;                    E / Do not convert ampersand on conversion
&amp;zcircle;                    E / Do not convert ampersand on conversion
&amp;circle0;                    E / Do not convert ampersand on conversion
&amp;circle1;                    E / Do not convert ampersand on conversion
&amp;circle2;                    E / Do not convert ampersand on conversion
&amp;circle3;                    E / Do not convert ampersand on conversion
&amp;circle4;                    E / Do not convert ampersand on conversion
&amp;circle5;                    E / Do not convert ampersand on conversion
&amp;circle6;                    E / Do not convert ampersand on conversion
&amp;circle7;                    E / Do not convert ampersand on conversion
&amp;circle8;                    E / Do not convert ampersand on conversion
&amp;circle9;                    E / Do not convert ampersand on conversion
&amp;circle10;                   E / Do not convert ampersand on conversion
&amp;circle11;                   E / Do not convert ampersand on conversion
&amp;circle12;                   E / Do not convert ampersand on conversion
&amp;circle13;                   E / Do not convert ampersand on conversion
&amp;circle14;                   E / Do not convert ampersand on conversion
&amp;circle15;                   E / Do not convert ampersand on conversion
&amp;circle16;                   E / Do not convert ampersand on conversion
&amp;circle17;                   E / Do not convert ampersand on conversion
&amp;circle18;                   E / Do not convert ampersand on conversion
&amp;circle19;                   E / Do not convert ampersand on conversion
&amp;circle20;                   E / Do not convert ampersand on conversion
&amp;amp;                        E / Do not convert ampersand on conversion
~                                W / Verify tilde symbol
<B>                              E / Should be converted to emphasis
<I>                              E / Should be converted to emphasis
<U>                              E / Should be converted to emphasis
<BI>                             E / Should be converted to emphasis
<BIU>                            E / Should be converted to emphasis
<IU>                             E / Should be converted to emphasis
<SUP>                            E / Should be converted to emphasis
<SUB>                            E / Should be converted to emphasis
